NRNP,RNP,NP,PP,P/N,Yield
3.375,11.375,14.75,35.75,2.423728814,3159.224341
3.625,11.25,14.875,34.5625,2.323529412,3254.711154
3.625,11.8125,15.4375,40.4375,2.619433198,3291.849709
3.6875,11.125,14.8125,43.3625,2.92742616,3462.042964
3.3125,10.975,14.2875,33.25,2.327209099,3238.934165
3.25,11.4375,14.6875,41.25,2.808510638,3367.323975
3.1875,12.875,16.0625,53.25,3.315175097,3431.639681
3.375,12.125,15.5,40.875,2.637096774,3660.878823
3.0625,12.25,15.3125,51.55,3.366530612,3733.761995
3.3125,12,15.3125,40.4375,2.640816327,3453.485353
3.75,10.6,14.35,37.6875,2.62630662,3174.288532
3.4375,11.625,15.0625,43.9375,2.917012448,3254.504616
3.625,10.5375,14.1625,36.75,2.594880847,3138.746168
4,10.1125,14.1125,32.4375,2.298494243,2707.502165
3.0625,12.0625,15.125,44.5375,2.944628099,3842.797713
3.25,11.9375,15.1875,38.5,2.534979424,3430.756096
3.3125,12.25,15.5625,48.875,3.140562249,3514.087942
3.375,12.4375,15.8125,45.0625,2.849802372,3324.737817
3.5,11.5,15,49.6875,3.3125,3937.599712
3.5,11.3125,14.8125,41.9375,2.831223629,3528.508821
3.5,11.4375,14.9375,35.9125,2.4041841,3063.81999
3.5625,11.875,15.4375,47.125,3.052631579,3534.132753
3.375,12.5,15.875,39.5,2.488188976,3256.981067
3.5,11.875,15.375,42.25,2.74796748,3766.238943
3.125,11.625,14.75,39.0625,2.648305085,3137.587567
3.1875,12.4375,15.625,52.6875,3.372,3749.024325
3.25,11.65,14.9,45.75,3.070469799,3434.432037
3.375,11.4375,14.8125,42.2625,2.853164557,3491.601345
3.4375,11.25,14.6875,45.875,3.123404255,3334.845423
3.0625,13.625,16.6875,51.125,3.063670412,3891.642743
2.875,14.6875,17.5625,71.725,4.083985765,4431.770953
3.1875,11.5,14.6875,36.725,2.500425532,3404.257992
3.625,11,14.625,36.375,2.487179487,2897.07412
3.0625,12.3125,15.375,49.725,3.234146341,3871.954517
