Protein %,Oil %,Seed Wt,Yield
43.7,18.72,27.9625,4445.178112
43.515,21.2075,26.0675,4361.238763
43.215,19.86375,23.9975,4348.261036
43.185,19.97875,23.94875,4343.89049
43.02125,18.9,23.1725,4343.80888
42.99625,19.7425,22.87875,4284.076314
37.6625,21.49875,22.2775,4253.929177
40.90625,18.67,21.93875,4250.498048
39.155,21.485,21.9275,4248.720774
36.03125,21.71375,21.79625,4248.142673
39.4825,19.82125,21.74125,4247.940001
39.5625,20.49625,21.6175,4246.641119
37.63125,20.3075,21.58875,4244.457424
39.80875,20.90625,21.55875,4243.388037
38.47125,20.905,19.065,4229.259446
40.89125,19.35875,18.56875,4229.225875
38.0875,20.28875,19.02875,4227.119741
41.43,19.7225,18.03625,4206.549455
40.5625,18.67875,19.6,4202.285909
39.98625,20.1825,17.74625,4201.623561
38.89625,21.04375,20.51375,4177.923146
39.36,20.02625,19.22375,4144.239681
38.0325,20.66,17.135,4131.620695
40.30625,19.335,18.5025,4091.69815
37.09375,20.32625,18.33875,4090.617787
41.38,18.62125,17.7,4072.374426
39.1175,19.41,18.9475,4071.984133
38.15375,21.41,16.72875,4071.392561
41.2475,18.90125,18.09,4052.494726
40.665,19.23625,17.8575,4045.336926
40.05,20.1175,18.01,4025.310154
39.4575,20.30125,17.84625,4018.9162
40.255,19.0325,18.23,4001.145485
40.15,19.21375,21.2125,3996.576939
41.76625,19.0975,21.365,3993.105534
41.0675,19.77125,19.8275,3985.060907
39.96625,19.54375,19.35125,3968.440829
41.3825,19.825,19.09,3966.986499
40.94375,20.09375,19.00625,3961.436429
40.16125,19.485,17.7525,3954.321036
39.04375,20.27875,17.58875,3940.367752
39.29875,20.555,20.155,3936.258413
40.445,20.40375,17.59125,3931.997683
40.25625,19.4375,19.49875,3918.877144
38.53,20.4375,20.3575,3916.434497
39.22125,20.6775,17.72625,3907.777005
37.8975,20.4575,17.13625,3899.922638
39.73125,20.39,19.46,3886.668004
41.7725,18.36125,19.85375,3879.437822
38.96875,20.50625,19.85,3876.087298
41.31,19.7175,19.24125,3874.060182
41.17125,19.065,20.36,3869.943104
40.56875,19.47375,19.1425,3869.756121
40.27375,19.965,18.23125,3867.679392
40.17125,20.51375,18.6575,3862.092934
40.25125,19.37625,20.15125,3861.505539
39.79375,19.05625,19.2325,3856.358042
38.37625,20.63875,18.05125,3854.855012
39.705,20.20625,18.20125,3851.591475
38.715,20.78875,20.8375,3847.569611
39.65625,20.6025,18.8425,3842.797713
39.5475,20.23625,18.1875,3841.995271
39.17375,20.93125,17.78375,3837.205693
38.71125,20.7675,19.50875,3835.273216
40.905,19.47875,20.49125,3832.995827
39.53125,20.835,18.8075,3827.933416
38.86,20.92,18.29375,3819.446617
38.82125,19.77375,17.79375,3818.442715
39.9175,19.6625,16.4525,3816.13967
39.9925,20.2775,19.35625,3815.023485
40.1125,19.7725,18.9475,3809.322948
40.1325,20.215,19.4875,3807.355909
40.73375,18.96625,18.45125,3807.013775
40.9225,19.045,21.31,3798.792793
40.1275,19.75625,17.3125,3796.152703
36.82875,21.735,16.55875,3795.681605
38.78875,20.615,18.13125,3789.941111
40.85875,18.69625,19.05625,3780.849171
41.0275,19.61375,20.24625,3776.664681
40.24125,18.85,17.1975,3773.004453
40.32,19.93,19.19625,3772.750599
40.57,19.98375,19.89375,3772.237105
41.225,19.23625,18.96625,3766.798338
40.2725,20.59125,19.47125,3760.522804
